"V1" "V2" "V3" "V4"
"211" 491.383838383838 492.919191919192 0.05875 0.94125
"212" 491.383838383838 493.111111111111 0.05875 0.94125
"213" 491.383838383838 493.30303030303 0.05875 0.94125
"214" 491.383838383838 493.494949494949 0.05875 0.94125
"215" 491.383838383838 493.686868686869 0.05875 0.94125
"216" 491.383838383838 493.878787878788 0.05875 0.94125
"217" 491.383838383838 494.070707070707 0.05875 0.94125
"218" 491.383838383838 494.262626262626 0.05875 0.94125
"219" 491.383838383838 494.454545454545 0.05875 0.94125
"220" 491.383838383838 494.646464646465 0.05875 0.94125
"221" 491.383838383838 494.838383838384 0.05875 0.94125
"222" 491.383838383838 495.030303030303 0.05875 0.94125
"223" 491.383838383838 495.222222222222 0.05875 0.94125
"224" 491.383838383838 495.414141414141 0.05875 0.94125
"225" 491.383838383838 495.606060606061 0.05875 0.94125
"226" 491.383838383838 495.79797979798 0.05875 0.94125
"227" 491.383838383838 495.989898989899 0.05875 0.94125
"228" 491.383838383838 496.181818181818 0.05875 0.94125
"229" 491.383838383838 496.373737373737 0.05875 0.94125
"230" 491.383838383838 496.565656565657 0.05875 0.94125
"231" 491.383838383838 496.757575757576 0.05875 0.94125
"232" 491.383838383838 496.949494949495 0.05875 0.94125
"233" 491.383838383838 497.141414141414 0.05875 0.94125
"234" 491.383838383838 497.333333333333 0.05875 0.94125
"235" 491.383838383838 497.525252525253 0.05875 0.94125
"236" 491.383838383838 497.717171717172 0.05875 0.94125
"237" 491.383838383838 497.909090909091 0.05875 0.94125
"238" 491.383838383838 498.10101010101 0.05875 0.94125
"239" 491.383838383838 498.292929292929 0.05875 0.94125
"240" 491.383838383838 498.484848484848 0.05875 0.94125
"241" 491.383838383838 498.676767676768 0.05875 0.94125
"242" 491.383838383838 498.868686868687 0.05875 0.94125
"243" 491.383838383838 499.060606060606 0.05875 0.94125
"244" 491.383838383838 499.252525252525 0.0575 0.9425
"245" 491.383838383838 499.444444444444 0.0575 0.9425
"246" 491.383838383838 499.636363636364 0.0575 0.9425
"247" 491.383838383838 499.828282828283 0.06875 0.93125
"248" 491.383838383838 500.020202020202 0.08625 0.91375
"249" 491.383838383838 500.212121212121 0.09375 0.90625
"250" 491.383838383838 500.40404040404 0.1025 0.8975
"251" 491.383838383838 500.59595959596 0.10375 0.89625
"252" 491.383838383838 500.787878787879 0.105 0.895
"253" 491.383838383838 500.979797979798 0.10375 0.89625
"254" 491.383838383838 501.171717171717 0.1075 0.8925
"255" 491.383838383838 501.363636363636 0.11625 0.88375
"256" 491.383838383838 501.555555555556 0.12875 0.87125
"257" 491.383838383838 501.747474747475 0.1425 0.8575
"258" 491.383838383838 501.939393939394 0.1525 0.8475
"259" 491.383838383838 502.131313131313 0.15125 0.84875
"260" 491.383838383838 502.323232323232 0.15375 0.84625
"261" 491.383838383838 502.515151515152 0.1575 0.8425
"262" 491.383838383838 502.707070707071 0.1625 0.8375
"263" 491.383838383838 502.89898989899 0.16125 0.83875
"264" 491.383838383838 503.090909090909 0.15625 0.84375
"265" 491.383838383838 503.282828282828 0.15875 0.84125
"266" 491.383838383838 503.474747474747 0.1675 0.8325
"267" 491.383838383838 503.666666666667 0.1775 0.8225
"268" 491.383838383838 503.858585858586 0.18125 0.81875
"269" 491.383838383838 504.050505050505 0.18125 0.81875
"270" 491.383838383838 504.242424242424 0.18125 0.81875
"271" 491.383838383838 504.434343434343 0.18125 0.81875
"272" 491.383838383838 504.626262626263 0.18125 0.81875
"273" 491.383838383838 504.818181818182 0.18125 0.81875
"274" 491.383838383838 505.010101010101 0.18125 0.81875
"275" 491.383838383838 505.20202020202 0.18125 0.81875
"276" 491.383838383838 505.393939393939 0.18125 0.81875
"277" 491.383838383838 505.585858585859 0.18125 0.81875
"278" 491.383838383838 505.777777777778 0.18125 0.81875
"279" 491.383838383838 505.969696969697 0.18125 0.81875
"280" 491.383838383838 506.161616161616 0.18125 0.81875
"281" 491.383838383838 506.353535353535 0.1825 0.8175
"282" 491.383838383838 506.545454545455 0.18375 0.81625
"283" 491.383838383838 506.737373737374 0.1775 0.8225
"284" 491.383838383838 506.929292929293 0.17625 0.82375
"285" 491.383838383838 507.121212121212 0.17125 0.82875
"286" 491.383838383838 507.313131313131 0.1725 0.8275
"287" 491.383838383838 507.505050505051 0.17125 0.82875
"288" 491.383838383838 507.69696969697 0.17 0.83
"289" 491.383838383838 507.888888888889 0.16875 0.83125
"290" 491.383838383838 508.080808080808 0.16375 0.83625
"291" 491.383838383838 508.272727272727 0.15875 0.84125
"292" 491.383838383838 508.464646464646 0.1525 0.8475
"293" 491.383838383838 508.656565656566 0.145 0.855
"294" 491.383838383838 508.848484848485 0.1325 0.8675
"295" 491.383838383838 509.040404040404 0.12375 0.87625
"296" 491.383838383838 509.232323232323 0.12 0.88
"297" 491.383838383838 509.424242424242 0.11 0.89
"298" 491.383838383838 509.616161616162 0.10375 0.89625
"299" 491.383838383838 509.808080808081 0.10375 0.89625
"300" 491.383838383838 510 0.1025 0.8975
"301" 491.575757575758 491 0.05875 0.94125
"302" 491.575757575758 491.191919191919 0.05875 0.94125
"303" 491.575757575758 491.383838383838 0.05875 0.94125
"304" 491.575757575758 491.575757575758 0.05875 0.94125
"305" 491.575757575758 491.767676767677 0.05875 0.94125
"306" 491.575757575758 491.959595959596 0.05875 0.94125
"307" 491.575757575758 492.151515151515 0.05875 0.94125
"308" 491.575757575758 492.343434343434 0.05875 0.94125
"309" 491.575757575758 492.535353535354 0.05875 0.94125
"310" 491.575757575758 492.727272727273 0.05875 0.94125
"311" 491.575757575758 492.919191919192 0.05875 0.94125
"312" 491.575757575758 493.111111111111 0.05875 0.94125
"313" 491.575757575758 493.30303030303 0.05875 0.94125
"314" 491.575757575758 493.494949494949 0.05875 0.94125
"315" 491.575757575758 493.686868686869 0.05875 0.94125
"316" 491.575757575758 493.878787878788 0.05875 0.94125
"317" 491.575757575758 494.070707070707 0.05875 0.94125
"318" 491.575757575758 494.262626262626 0.05875 0.94125
"319" 491.575757575758 494.454545454545 0.05875 0.94125
"320" 491.575757575758 494.646464646465 0.05875 0.94125
"321" 491.575757575758 494.838383838384 0.05875 0.94125
"322" 491.575757575758 495.030303030303 0.05875 0.94125
"323" 491.575757575758 495.222222222222 0.05875 0.94125
"324" 491.575757575758 495.414141414141 0.05875 0.94125
"325" 491.575757575758 495.606060606061 0.05875 0.94125
"326" 491.575757575758 495.79797979798 0.05875 0.94125
"327" 491.575757575758 495.989898989899 0.05875 0.94125
"328" 491.575757575758 496.181818181818 0.05875 0.94125
"329" 491.575757575758 496.373737373737 0.05875 0.94125
"330" 491.575757575758 496.565656565657 0.05875 0.94125
"331" 491.575757575758 496.757575757576 0.05875 0.94125
"332" 491.575757575758 496.949494949495 0.05875 0.94125
"333" 491.575757575758 497.141414141414 0.05875 0.94125
"334" 491.575757575758 497.333333333333 0.05875 0.94125
"335" 491.575757575758 497.525252525253 0.05875 0.94125
"336" 491.575757575758 497.717171717172 0.05875 0.94125
"337" 491.575757575758 497.909090909091 0.05875 0.94125
"338" 491.575757575758 498.10101010101 0.05875 0.94125
"339" 491.575757575758 498.292929292929 0.05875 0.94125
"340" 491.575757575758 498.484848484848 0.05875 0.94125
"341" 491.575757575758 498.676767676768 0.05875 0.94125
"342" 491.575757575758 498.868686868687 0.05875 0.94125
"343" 491.575757575758 499.060606060606 0.05875 0.94125
"344" 491.575757575758 499.252525252525 0.05875 0.94125
"345" 491.575757575758 499.444444444444 0.05625 0.94375
"346" 491.575757575758 499.636363636364 0.05625 0.94375
"347" 491.575757575758 499.828282828283 0.05875 0.94125
"348" 491.575757575758 500.020202020202 0.075 0.925
"349" 491.575757575758 500.212121212121 0.0875 0.9125
"350" 491.575757575758 500.40404040404 0.095 0.905
"351" 491.575757575758 500.59595959596 0.10375 0.89625
"352" 491.575757575758 500.787878787879 0.10375 0.89625
"353" 491.575757575758 500.979797979798 0.105 0.895
"354" 491.575757575758 501.171717171717 0.10875 0.89125
"355" 491.575757575758 501.363636363636 0.11375 0.88625
"356" 491.575757575758 501.555555555556 0.12 0.88
"357" 491.575757575758 501.747474747475 0.14 0.86
"358" 491.575757575758 501.939393939394 0.15125 0.84875
"359" 491.575757575758 502.131313131313 0.15125 0.84875
"360" 491.575757575758 502.323232323232 0.15125 0.84875
